check,passed,severity,detail
v2_25a_production_blocked,true,critical,PRODUCTION_SCORING_READINESS_GATE_COMPLETED_DRY_RUN_AUTHORIZED_PRODUCTION_BLOCKED
v2_25b_no_promotion,true,critical,PRODUCTION_SCORING_DRY_RUN_V2_COMPLETED_NO_PROMOTION
v2_25c_hold_preserved,true,critical,SCORE_STABILITY_AUDIT_COMPLETED_HOLD_FOR_EXPLAINABILITY
v2_25d_not_investment_ready,true,critical,SCORE_EXPLAINABILITY_COMPLETED_NOT_INVESTMENT_READY
all_prior_critical_checks_zero,true,critical,v2.25A=0;v2.25B=0;v2.25C=0;v2.25D=0
freeze_decision_explicit,true,critical,FREEZE_CURRENT_FORMULA_AS_DATA_READINESS_DIAGNOSTIC
diagnostic_role_explicit,true,critical,DATA_READINESS_ONLY
production_authorization_false,true,critical,False
scoring_promoted_false,true,critical,False
no_operational_scoring_pointer_created,true,critical,False
promoted_metadata_unchanged,true,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
active_universe_pointer_unchanged,true,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
dry_run_scores_unchanged,true,critical,4a041712e66034044388dddb0d556c17dbba4bc1a982a6ae7e43d7b57ded5a8f
historical_outputs_unchanged,true,critical,True
openai_not_called,true,critical,False
broker_not_called,true,critical,False
full59k_deferred,true,critical,DEPRECATED_DEFERRED
