check,passed,severity,detail
freeze_decision_commit_pinned,true,critical,20972dedddbaac5a25b1ead1558074127e31926a
pointer_schema_version_explicit,true,critical,1.0
pointer_status_fail_closed,true,critical,NO_ACTIVE_PRODUCTION_SCORING_FAIL_CLOSED
active_scoring_available_false,true,critical,False
active_scoring_artifact_null,true,critical,null
active_scoring_sha_null,true,critical,null
production_authorization_false,true,critical,False
scoring_promoted_false,true,critical,False
diagnostic_role_data_readiness_only,true,critical,DATA_READINESS_ONLY
diagnostic_production_eligible_false,true,critical,False
diagnostic_sha_pinned,true,critical,4a041712e66034044388dddb0d556c17dbba4bc1a982a6ae7e43d7b57ded5a8f
consumer_contract_fail_closed,true,critical,FAIL_CLOSED
all_failure_paths_return_unavailable,true,critical,9 guarded failure paths
no_implicit_file_discovery_activation,true,critical,pointer validation required
promoted_metadata_unchanged,true,critical,01fef82316a458c65d42c08cb993feed9e0cc8178f4f7bf4f08835f169bfa74c
active_universe_pointer_unchanged,true,critical,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4
historical_outputs_unchanged,true,critical,True
openai_not_called,true,critical,False
broker_not_called,true,critical,False
full59k_deferred,true,critical,DEPRECATED_DEFERRED
